Age,TIC ,δ18O,δ13C,Aragonite,Calcite,Dolomite,Calcite
25319,2.93,22.39,0.735,,,,
25407,,24.77,3.174,0.26,0.38,0.36,29.51
25492,5.26,25.70,4.199,,,,
25584,6.53,25.30,4.069,,,,
25669,3.59,23.11,1.497,,,,
25762,4.68,24.83,3.465,,,,
25843,4.14,23.79,2.428,0.29,0.48,0.23,29.49
25927,3.90,23.93,2.449,,,,
26006,3.74,23.49,2.169,,,,
26094,3.53,23.09,1.643,,,,
26189,2.40,22.61,1.006,,,,
26270,3.63,23.92,2.307,0.41,0.32,0.27,29.47
26337,2.63,21.59,0.010,,,,
26406,2.36,21.02,-0.633,,,,
26475,2.39,21.60,-0.020,,,,
26556,2.72,22.77,1.254,,,,
26629,3.11,23.49,1.660,0.27,0.47,0.26,29.55
26684,4.77,24.72,3.361,,,,
26743,5.24,24.87,3.820,,,,
26800,5.18,24.91,3.855,,,,
26859,4.78,24.51,3.348,,,,
26914,5.25,24.85,3.971,0.61,0.26,0.13,29.53
26967,4.81,24.81,3.770,,,,
27015,5.55,25.19,4.166,,,,
27066,4.80,24.56,3.431,,,,
27112,5.37,24.71,3.797,,,,
27155,4.95,24.33,3.172,0.46,0.40,0.15,29.59
27201,6.39,25.04,3.912,,,,
27250,5.83,24.50,3.436,,,,
27297,6.16,24.30,3.408,,,,
27344,5.66,24.50,3.561,,,,
27385,5.65,25.24,4.134,0.58,0.30,0.12,29.49
27427,5.52,24.63,3.521,,,,
27465,4.83,24.79,3.748,,,,
27507,5.49,24.73,3.605,,,,
27554,5.48,24.57,3.491,,,,
27593,6.02,25.08,3.948,0.54,0.32,0.14,29.40
27627,6.79,25.54,4.474,,,,
27661,6.26,25.55,4.223,,,,
27697,7.23,26.24,4.466,,,,
27740,8.42,26.18,4.902,,,,
27785,5.55,24.85,3.669,0.53,0.35,0.12,29.46
27842,4.38,24.23,2.875,,,,
27922,4.51,24.45,3.141,,,,
28013,6.35,25.64,4.425,,,,
28104,5.18,24.85,3.585,,,,
28192,4.45,24.51,2.915,0.34,0.45,0.21,29.53
28291,6.69,25.62,4.185,,,,
28393,8.34,26.00,4.696,,,,
28496,5.90,24.84,3.486,,,,
28590,5.63,25.20,4.056,,,,
28677,4.63,24.73,3.169,0.22,0.71,0.07,29.53
28771,5.07,24.51,2.862,,,,
28869,4.88,24.23,2.676,,,,
28966,4.25,23.71,2.105,,,,
29055,5.40,24.12,3.137,,,,
29135,4.23,22.91,1.742,0.24,0.59,0.16,29.57
29221,5.86,24.09,3.342,,,,
29319,5.79,24.22,2.376,,,,
29409,5.95,24.33,1.859,,,,
29502,6.51,24.72,2.345,,,,
29595,4.65,24.15,1.329,0.60,0.29,0.11,29.49
29670,5.72,24.31,1.599,,,,
29754,5.95,24.49,1.574,,,,
29837,5.98,24.70,1.779,,,,
29913,6.41,24.58,1.851,,,,
29991,5.87,24.28,1.836,0.51,0.33,0.16,29.59
30068,6.85,24.72,2.364,,,,
30153,5.86,24.51,1.613,,,,
30243,4.02,24.17,0.827,,,,
30324,1.93,23.95,-1.071,,,,
30399,5.15,23.93,1.213,0.46,0.33,0.22,29.45
30482,5.62,24.27,1.450,,,,
30563,4.82,23.95,1.137,,,,
30640,4.15,24.45,0.601,,,,
30719,7.20,25.50,1.924,,,,
30799,7.21,25.08,1.689,0.65,0.22,0.13,29.50
30881,7.76,25.11,2.091,,,,
30963,7.26,24.93,1.823,,,,
31043,5.64,24.22,1.068,,,,
31128,6.72,24.98,1.693,,,,
31214,6.58,25.25,1.580,0.55,0.22,0.22,29.47
31304,7.74,25.59,2.289,,,,
31384,7.68,25.23,2.056,,,,
31463,6.85,24.95,1.597,,,,
31547,7.57,25.26,2.064,,,,
31624,7.52,25.11,1.945,0.74,0.19,0.07,29.44
31714,7.08,24.60,1.623,,,,
31794,7.89,25.06,2.196,,,,
31875,7.20,24.82,1.789,,,,
31961,7.78,24.88,2.003,,,,
32047,7.30,25.54,2.347,0.77,0.15,0.08,29.49
32134,7.82,25.67,2.436,,,,
32217,7.58,25.13,2.236,,,,
32292,6.54,24.88,1.894,,,,
32375,5.94,24.69,1.349,,,,
32450,7.78,25.86,2.693,0.60,0.26,0.15,29.69
