Age,Age.R,  Age (kyr),   Temperature (C) 
14485,-14485,14.485,-32.7917
14470,-14470,14.47,-33.3281
14454,-14454,14.454,-34.1997
14436,-14436,14.436,-34.2713
14419,-14419,14.419,-34.5055
14401,-14401,14.401,-34.2303
14384,-14384,14.384,-34.1031
14369,-14369,14.369,-34.2813
14352,-14352,14.352,-34.256
14334,-14334,14.334,-34.3884
14318,-14318,14.318,-34.9388
14299,-14299,14.299,-35.8205
14281,-14281,14.281,-36.4168
14261,-14261,14.261,-37.2018
14244,-14244,14.244,-37.7012
14225,-14225,14.225,-38.1703
14206,-14206,14.206,-38.3893
14187,-14187,14.187,-38.3792
14171,-14171,14.171,-39.4291
14131,-14131,14.131,-40.3425
14110,-14110,14.11,-41.6024
14081,-14081,14.081,-42.6422
14051,-14051,14.051,-42.9908
14031,-14031,14.031,-41.792
14010,-14010,14.01,-40.8012
13988,-13988,13.988,-39.6697
13969,-13969,13.969,-39.0153
13947,-13947,13.947,-38.7829
13924,-13924,13.924,-39.3761
13902,-13902,13.902,-39.37
13882,-13882,13.882,-39.37
13862,-13862,13.862,-39.1795
13862,-13862,13.862,-39.2355
13841,-13841,13.841,-39.1437
13821,-13821,13.821,-38.9144
13802,-13802,13.802,-38.8939
13762,-13762,13.762,-39.0031
13742,-13742,13.742,-39.2294
13720,-13720,13.72,-40.1162
13697,-13697,13.697,-40.4771
13672,-13672,13.672,-40.526
13647,-13647,13.647,-40.0306
13625,-13625,13.625,-39.2966
13625,-13625,13.625,-39.6758
13605,-13605,13.605,-38.6034
13588,-13588,13.588,-38.4303
13547,-13547,13.547,-38.5138
13527,-13527,13.527,-39.0398
13504,-13504,13.504,-39.3211
13482,-13482,13.482,-39.6147
13460,-13460,13.46,-39.0581
13436,-13436,13.436,-39.578
13416,-13416,13.416,-39.9817
13393,-13393,13.393,-40.6055
13366,-13366,13.366,-41.2049
13344,-13344,13.344,-42.2569
13316,-13316,13.316,-43.3639
13291,-13291,13.291,-43.8165
13262,-13262,13.262,-45.0841
13236,-13236,13.236,-46.1774
13205,-13205,13.205,-46.2156
13173,-13173,13.173,-45.7645
13145,-13145,13.145,-45.0092
13122,-13122,13.122,-44.2569
13102,-13102,13.102,-43.1376
13079,-13079,13.079,-41.9083
13055,-13055,13.055,-41.5535
13035,-13035,13.035,-41.0703
13014,-13014,13.014,-41.156
12993,-12993,12.993,-41.3517
12973,-12973,12.973,-42.104
12948,-12948,12.948,-44.1208
12920,-12920,12.92,-45.9021
12887,-12887,12.887,-48.0428
12854,-12854,12.854,-49.2049
12817,-12817,12.817,-49.6483
12779,-12779,12.779,-49.5107
12745,-12745,12.745,-49.5489
12705,-12705,12.705,-50.13
12666,-12666,12.666,-49.7706
12628,-12628,12.628,-49.4878
12588,-12588,12.588,-48.9679
12550,-12550,12.55,-48.3945
12511,-12511,12.511,-48.1575
12475,-12475,12.475,-48.1881
12438,-12438,12.438,-48.3028
12401,-12401,12.401,-47.6758
12322,-12322,12.322,-47.5306
12322,-12322,12.322,-47.3801
12280,-12280,12.28,-47.2018
12246,-12246,12.246,-47.6223
12213,-12213,12.213,-47.7217
12174,-12174,12.174,-47.3471
12140,-12140,12.14,-46.9954
12104,-12104,12.104,-46.2844
12063,-12063,12.063,-46.5673
12029,-12029,12.029,-46.6132
11993,-11993,11.993,-46.4908
11959,-11959,11.959,-47.737
11922,-11922,11.922,-47.6911
11889,-11889,11.889,-47.6682
11857,-11857,11.857,-48.3028
11823,-11823,11.823,-47.1024
11790,-11790,11.79,-46.4679
11755,-11755,11.755,-46.8731
11723,-11723,11.723,-45.4358
11690,-11690,11.69,-44.3364
11666,-11666,11.666,-41.5342
11666,-11666,11.666,-42.4037
11647,-11647,11.647,-39.8676
11628,-11628,11.628,-37.8034
11611,-11611,11.611,-36.6413
11594,-11594,11.594,-36.152
11576,-11576,11.576,-36.3355
11558,-11558,11.558,-35.8969
11542,-11542,11.542,-35.8847
11527,-11527,11.527,-36.5226
11512,-11512,11.512,-36.6187
11496,-11496,11.496,-36.6361
11479,-11479,11.479,-37.3495
11462,-11462,11.462,-38.0428
11446,-11446,11.446,-38.7563
11427,-11427,11.427,-38.8125
11408,-11408,11.408,-39.4547
11389,-11389,11.389,-39.4242
11371,-11371,11.371,-38.7716
11354,-11354,11.354,-38.3945
11339,-11339,11.339,-37.7728
11324,-11324,11.324,-37.7459
11307,-11307,11.307,-36.422
11289,-11289,11.289,-36.3661
11274,-11274,11.274,-35.8061
11258,-11258,11.258,-35.4609
11243,-11243,11.243,-35.3954
11229,-11229,11.229,-35.4566
11213,-11213,11.213,-35.3691
11197,-11197,11.197,-35.4523
11180,-11180,11.18,-35.3911
11163,-11163,11.163,-35.9939
11149,-11149,11.149,-36.304
11135,-11135,11.135,-36.3914
11120,-11120,11.12,-36.0682
11101,-11101,11.101,-35.9327
11087,-11087,11.087,-36.208
11071,-11071,11.071,-36.2211
11057,-11057,11.057,-35.7361
11039,-11039,11.039,-35.618
11025,-11025,11.025,-35.3474
11011,-11011,11.011,-35.4523
10995,-10995,10.995,-35.404
10980,-10980,10.98,-35.1465
10965,-10965,10.965,-34.963
10951,-10951,10.951,-35.544
10937,-10937,10.937,-35.5352
10921,-10921,10.921,-35.5526
10891,-10891,10.891,-35.1263
10877,-10877,10.877,-35.0771
10862,-10862,10.862,-35.0468
10847,-10847,10.847,-35.0125
10833,-10833,10.833,-34.9272
10819,-10819,10.819,-34.8006
10819,-10819,10.819,-34.8495
10806,-10806,10.806,-34.6954
10792,-10792,10.792,-34.5911
10762,-10762,10.762,-34.3801
10762,-10762,10.762,-34.415
10747,-10747,10.747,-34.2847
10734,-10734,10.734,-34.204
10720,-10720,10.72,-34.1251
10706,-10706,10.706,-34.0437
10692,-10692,10.692,-33.9459
10678,-10678,10.678,-33.8551
10662,-10662,10.662,-33.7566
10648,-10648,10.648,-33.6404
