Age,d (0.1),d (0.5),d (0.9),Result 0.02µm-3.89µm,Result 3.90µm-7.79µm,Result 7.80µm-15.59µm,Result 15.60µm-30.99µm,Result 31.00µm-62.49µm,Result 62.50µm-124.99µm,Result 125.00µm-249.99µm,Result 250.00µm-499.99µm,Result 500.00µm-1000.00µm,Result 1000.01µm-2000.00µm,Mode,Clay,Silt,Sand
38.76,3.17,13.97,47.38,12.86,15.68,25.9,25.42,14.17,4.79,0.76,0.3,0,0,15.55,12.86,81.17,5.86
39.59,3.44,17.21,82.97,11.55,13.19,21.7,23.03,15.99,9.24,4,1.17,0.04,0,17.16,11.55,73.9,14.45
41.38,3.17,24.01,145.23,12.22,10.83,16.07,16.82,15.26,15.65,10.78,2.28,0.01,0,16.91,12.22,58.98,28.72
44.13,1.27,5.99,34.75,36.65,21.24,18.33,12.16,7.32,3.47,0.7,0,0,0,5.2,36.65,59.05,4.16
46.88,1.9,10.77,42.06,21.7,17.85,22.9,20.81,12.29,3.73,0.56,0.03,0,0,13.63,21.7,73.85,4.32
49.63,3.4,13.58,43.9,12.06,17.12,26.33,25.35,14.92,4.09,0.01,0,0,0,15.04,12.06,83.72,4.1
52.38,2.01,17.73,124.83,19.91,13.13,14.18,14.78,15.44,12.49,6.65,3.05,0.28,0,39.22,19.91,57.53,22.47
55.13,1.55,8.75,40.9,27.62,18.85,21.06,17.53,9.79,3.96,1.03,0.03,0,0,11.54,27.62,67.23,5.02
57.88,1.49,8.09,76.75,30.37,18.57,16.72,13.05,9.28,5.33,3.88,2.54,0.14,0,5.53,30.37,57.62,11.89
60.63,1.46,7.32,50.51,31.85,19.87,19.03,13.67,7.1,4.09,2.6,1.52,0.15,0,6.75,31.85,59.66,8.36
63.38,2.77,14.26,56.1,15.51,16.06,21.3,22.58,16.22,6.14,1.26,0.73,0.1,0,19.32,15.51,76.15,8.22
66.13,2.67,15.55,107.15,15.24,14.62,20.13,18.78,14,8.57,4.43,3.38,0.74,0,13.5,15.24,67.54,17.12
68.88,2.84,16.8,80.18,14.52,13.68,19.27,23.13,16.21,6.64,3.35,2.52,0.59,0,21.63,14.52,72.28,13.09
71.63,1.06,3.79,19.26,50.99,22.32,13.82,7.17,3.86,1.6,0.1,0,0,0,3.17,50.99,47.17,1.7
74.38,1.35,3.45,8.6,56.65,30.56,10.91,1.6,0.09,0,0,0,0,0,3.45,56.65,43.16,0
77.13,1.67,4.93,13.28,38.49,33.25,21.4,5.99,0.68,0.01,0,0,0,0,5.17,38.49,61.32,0.01
79.88,2.2,8.97,29.84,21.31,22.97,27.64,18.63,7.21,1.94,0.17,0,0,0,10.11,21.31,76.43,2.11
82.63,2.38,11.86,40.1,18.29,17.42,24.6,23.67,11.99,3.37,0.55,0,0,0,15.64,18.29,77.68,3.91
85.38,2.05,11.35,51.17,20.39,17.38,22.93,19.85,12.02,5.45,1.47,0.4,0,0,12.89,20.39,72.17,7.32
88.13,1.54,9.01,36.99,27.28,18.26,21.95,19.01,9.79,3.14,0.46,0,0,0,13.32,27.28,69,3.59
90.88,1.7,11.07,52,24.13,16.15,19.74,19.19,13.43,5.61,0.94,0.61,0.09,0,15.29,24.13,68.51,7.25
93.63,1.74,10.86,42.45,24.12,16.46,20.72,21.32,13.14,3.92,0.22,0,0,0,17.39,24.12,71.63,4.14
96.38,2.43,14.12,44.3,17.2,14.9,21.35,25.87,16.8,3.66,0.09,0.01,0,0,21.43,17.2,78.93,3.76
99.13,2.33,12.23,37.9,17.93,16.68,24.8,25.26,12.54,2.44,0.22,0,0,0,16.73,17.93,79.28,2.67
101.88,2.66,13.16,39.56,16.07,16.37,24.11,26.55,13.95,2.69,0.15,0,0,0,18.56,16.07,80.97,2.83
104.63,2.53,11.82,35.36,17.19,17.98,25.9,25.41,11.42,1.9,0.08,0,0,0,16.2,17.19,80.71,1.98
107.38,2.75,13.48,38.25,15.32,15.76,24.85,27.88,13.83,2.24,0,0,0,0,18.47,15.32,82.32,2.24
110.13,2.75,12.53,37.52,15.66,17.33,25.82,26.02,12.6,2.39,0.06,0,0,0,16.59,15.66,81.77,2.44
112.88,3.26,14.69,46.06,12.41,14.24,25.89,27.85,13.37,3.66,1.28,0.98,0.2,0,17.12,12.41,81.35,6.13
115.63,2.58,10.56,31.46,16.98,20.36,29.86,22.37,7.84,2.13,0.31,0,0,0,12.39,16.98,80.44,2.45
118.38,1.71,8.65,37.86,26.64,20.01,21.62,17.83,10.19,3.24,0.28,0.08,0,0,10.2,26.64,69.63,3.59
121.13,2.16,10.96,41.68,19.77,18.43,24.6,21.15,11.24,4.31,0.37,0,0,0,13.11,19.77,75.42,4.68
123.88,2.29,11.39,41.09,18.93,17.97,24.75,22.31,11.29,3.66,0.97,0,0,0,14.22,18.93,76.32,4.63
126.63,2.26,11.79,47.27,18.99,17.47,23.22,21.56,12.45,5.48,0.71,0,0,0,14.56,18.99,74.7,6.19
