Age,Deuterium2007,TempAnomaly
462970,-432.6,-7.63
462350,-429.6,-7.15
461713,-431.4,-7.45
461031,-436.1,-8.24
460344,-436.6,-8.34
459652,-437.3,-8.47
458942,-439.2,-8.80
458216,-439.3,-8.83
457519,-438.4,-8.70
456813,-439.7,-8.92
456156,-435.3,-8.21
455550,-430.3,-7.39
454969,-428,-7.01
454400,-426.8,-6.81
453816,-423.9,-6.34
453229,-429.3,-7.24
452613,-433.2,-7.89
452042,-428.2,-7.07
451492,-425.9,-6.70
450881,-433.3,-7.92
450288,-431.6,-7.65
449719,-429.2,-7.26
449151,-429.3,-7.28
448573,-431.1,-7.58
448047,-424.9,-6.56
447536,-423.5,-6.32
447034,-422.5,-6.15
446471,-430.6,-7.48
445900,-431.6,-7.65
445342,-430.4,-7.45
444785,-430.4,-7.45
444216,-432.4,-7.77
443682,-428.61,-7.15
443120,-433.24,-7.91
442535,-436.33,-8.42
441954,-435.82,-8.33
441388,-438.26,-8.73
440798,-440.33,-9.07
440206,-440.18,-9.04
439625,-440.92,-9.15
439039,-441.19,-9.19
438423,-438.86,-8.80
437827,-443.84,-9.60
437267,-441.88,-9.25
436726,-444.32,-9.63
436141,-440,-8.91
435592,-434.8,-8.03
435023,-437.7,-8.49
434472,-435.9,-8.17
433969,-438.56,-8.58
433425,-436,-8.12
432870,-437.8,-8.39
432326,-436.8,-8.19
431767,-436.9,-8.19
431226,-437,-8.19
430693,-436.6,-8.10
430187,-433.6,-7.58
429718,-429,-6.79
429259,-428.1,-6.61
428868,-424.9,-6.05
428444,-423.7,-5.83
428065,-416.6,-4.63
427684,-417.2,-4.70
427343,-412.8,-3.95
427020,-406.8,-2.93
426715,-403.1,-2.29
426390,-405.6,-2.67
426090,-402.5,-2.13
425813,-401,-1.85
425537,-401.5,-1.90
425277,-396.2,-0.99
425027,-392.2,-0.29
424784,-390.1,0.09
424536,-392.3,-0.24
424263,-398.8,-1.29
423963,-405.3,-2.34
423669,-404,-2.10
423359,-407.1,-2.59
423056,-405,-2.21
422768,-400.9,-1.51
422475,-401.3,-1.55
422171,-403.4,-1.87
421871,-402.7,-1.72
421582,-401.1,-1.43
421290,-400.9,-1.37
421013,-397.3,-0.75
420741,-396.5,-0.59
420474,-394.8,-0.29
420203,-396.1,-0.48
419929,-397.1,-0.62
419666,-394,-0.09
419398,-395.7,-0.35
419133,-395.2,-0.24
418889,-395.8,-0.32
418624,-395.7,-0.28
418364,-394.1,0.01
418106,-393.8,0.08
417860,-390.7,0.61
417608,-392.6,0.32
417358,-392.4,0.38
417118,-389.8,0.83
416874,-390.9,0.67
416624,-393.1,0.33
416380,-391.4,0.63
416125,-394.7,0.10
415875,-393.5,0.31
415626,-393.6,0.31
415384,-391.9,0.61
415132,-394.9,0.12
414882,-394.7,0.17
414639,-393.2,0.43
414392,-394.3,0.26
414139,-396.4,-0.08
413902,-392.5,0.57
413669,-391.94,0.68
