Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
22523.000,4.49,2.60,-0.55,1.84,0.98,0.12,0.00,96.08,1.10,3404,14.9,14.04,50.54,34.34,1.08,0.00
22616.000,4.52,2.60,-0.44,2.59,1.16,0.11,0.00,94.94,1.26,7742,15.0,27.27,47.38,25.34,0.00,0.00
22708.000,4.55,2.34,-0.81,4.15,1.89,0.00,0.00,95.41,1.89,2881,14.2,42.62,38.52,18.03,0.82,0.00
22801.000,4.58,2.71,-0.58,5.61,3.42,0.00,0.00,87.27,3.42,20500,14.9,53.26,29.47,17.26,0.00,0.00
22893.000,4.61,2.56,-0.73,3.61,1.01,0.00,0.00,95.10,1.01,3036,15.5,68.46,22.08,9.46,0.00,0.00
22986.000,4.64,2.54,-0.68,6.20,2.92,0.00,0.13,90.61,3.05,6981,14.0,58.07,27.83,13.98,0.13,0.00
23079.000,4.67,2.51,-0.56,4.28,4.94,0.00,0.00,86.65,4.94,12373,13.8,49.77,39.41,10.59,0.23,0.00
23171.000,4.70,2.56,-0.57,4.64,3.24,0.27,0.00,89.74,3.51,7600,14.2,60.94,27.72,11.18,0.16,0.00
23264.000,4.73,2.68,-0.51,4.75,2.23,0.00,0.00,94.04,2.23,4800,14.9,44.61,37.84,17.20,0.34,0.00
23357.000,4.76,2.55,-0.49,8.06,2.63,0.00,0.00,92.47,2.63,5357,15.6,42.60,42.60,14.80,0.00,0.00
23449.000,4.79,2.63,-0.65,10.19,1.96,0.00,0.00,92.69,1.96,5283,15.6,40.97,34.77,24.26,0.00,0.00
23542.000,4.82,2.59,-0.72,14.04,4.75,0.17,0.00,88.46,4.92,8293,14.8,24.93,43.21,31.58,0.28,0.00
23634.000,4.85,2.72,-0.51,27.27,5.92,0.00,0.00,83.27,5.92,12059,9.5,13.87,46.28,38.97,0.76,0.13
23727.000,4.88,2.73,-0.69,42.62,11.68,1.32,0.16,66.12,13.16,27105,9.6,8.47,52.75,38.14,0.21,0.42
